0,35325
1,65164
2,36657
3,27296
4,37447
5,29632
6,62077
7,30081
8,70195
9,34524
10,31373
11,33290
12,29344
13,55434
14,37400
15,47391
16,34986
17,48646
18,60158
19,35920
20,55379
21,32521
22,36712
23,32411
24,65248
25,45044
26,47039
27,33648
28,36951
29,28326
30,39779
31,35118
32,51744
33,28112
34,56267
35,63424
36,120010
37,40841
38,45847
39,115068
40,99057
41,44479
42,26830
43,46906
44,24570
45,60934
46,39985
47,53449
48,30680
49,44840
50,27710
51,62342
52,26973
53,57539
54,83626
55,33250
56,37375
57,41089
58,44875
59,39997
60,30799
61,106377
62,33408
63,28394
64,27475
65,45076
66,59590
67,77404
68,41373
69,38167
70,65480
71,120009
72,28327
73,83027
74,39972
75,37666
76,56949
77,39573
78,38910
79,29943
80,26524
81,34533
82,32615
83,27942
84,120005
85,33703
86,37767
87,43442
88,38720
89,27359
90,30400
91,29612
92,38886
93,27607
94,45392
95,29628
96,30828
97,29610
98,53169
99,51982
100,49829
101,39807
102,20251
103,41103
104,55436
105,27812
106,28094
107,44743
108,34730
109,29480
110,34096
111,29078
112,49478
113,42643
114,53816
115,60172
116,58073
117,32782
118,33695
119,38636
120,30747
121,37668
122,54885
123,36601
124,84447
125,109533
126,44893
127,39152
128,62257
129,30965
130,62089
131,44095
132,36064
133,45374
134,36000
135,55770
136,26014
137,48998
138,27872
139,32231
140,20185
141,55454
142,35934
143,29828
144,46942
145,39040
146,39234
147,36234
148,38870
149,44293
150,51566
151,69248
152,38888
153,45726
154,27877
155,46505
156,29046
157,63814
158,30281
159,50409
160,27808
161,47144
162,45509
163,30686
164,69734
165,24774
166,33899
167,42700
168,36768
169,29866
170,74066
171,45709
172,32885
173,36618
174,40691
175,52213
176,30400
177,30928
178,34849
179,28162
180,32084
181,34847
182,31029
183,24524
184,62462
185,37219
186,31478
187,48290
188,75958
189,31217
190,28489
191,96920
192,43406
193,45390
194,19956
195,36232
196,52565
197,23471
198,29947
199,34535
200,81440
201,52302
202,34916
203,32980
204,26242
205,51009
206,71648
207,54585
208,43978
209,79577
210,27984
211,30315
212,120004
213,67697
214,35968
215,63499
216,72366
217,40166
218,52723
219,24451
220,47010
221,35417
222,31618
223,26202
224,52882
225,114107
226,84379
227,36557
228,36567
229,70994
230,35740
231,80910
232,29940
233,31495
234,30174
235,31087
236,59773
237,34267
238,72936
239,34182
240,35126
241,33418
242,87945
243,34770
244,30330
245,45057
246,27957
247,42794
248,71117
249,32013
250,56700
251,31718
252,42823
253,42570
254,39776
